Date,Open,High,Low,Close,Volume,MarketCap,UsdPrice,AtoRate,AudPrice
15/12/2017,16601.30,18154.10,16601.30,17706.90,14310000000.00,277936000000.00,17706.9,0.8032,22045.44323
14/12/2017,16384.60,17085.80,16185.90,16564.00,13777400000.00,274269000000.00,16564,0.7994,20720.54041
13/12/2017,17500.00,17653.10,16039.70,16408.20,12976900000.00,292900000000.00,16408.2,0.7916,20727.89288
12/12/2017,16919.80,17781.80,16571.60,17415.40,14603800000.00,283155000000.00,17415.4,0.7889,22075.54823
11/12/2017,15427.40,17513.90,15404.80,16936.80,12153900000.00,258147000000.00,16936.8,0.787,21520.71156
10/12/2017,15168.40,15850.60,13226.60,15455.40,13433300000.00,253782000000.00,15455.4,0.7863,19655.85654
9/12/2017,16523.30,16783.00,13674.90,15178.20,13911300000.00,276415000000.00,15178.2,0.7863,19303.31934
8/12/2017,17802.90,18353.40,14336.90,16569.40,21136000000.00,297787000000.00,16569.4,0.7863,21072.61859
7/12/2017,14266.10,17899.70,14057.30,17899.70,17950700000.00,238600000000.00,17899.7,0.7918,22606.33998
6/12/2017,11923.40,14369.10,11923.40,14291.50,12656300000.00,199390000000.00,14291.5,0.7963,17947.38164
5/12/2017,11685.70,12032.00,11604.60,11916.70,6895260000.00,195389000000.00,11916.7,0.7952,14985.78974
4/12/2017,11315.40,11657.20,11081.80,11657.20,6132410000.00,189172000000.00,11657.2,0.7961,14642.88406
3/12/2017,11082.70,11858.70,10862.00,11323.20,6608310000.00,185258000000.00,11323.2,0.7923,14291.55623
2/12/2017,10978.30,11320.20,10905.10,11074.60,5138500000.00,183490000000.00,11074.6,0.7923,13977.78619
1/12/2017,10198.60,11046.70,9694.65,10975.60,6783120000.00,170436000000.00,10975.6,0.7923,13852.83352
30/11/2017,9906.79,10801.00,9202.05,10233.60,8310690000.00,165537000000.00,10233.6,0.7934,12898.4119
29/11/2017,10077.40,11517.40,9601.03,9888.61,11568800000.00,168367000000.00,9888.61,0.7955,12430.6851
28/11/2017,9823.43,10125.70,9736.30,10058.80,6348820000.00,164104000000.00,10058.8,0.7965,12628.75078
27/11/2017,9352.72,9818.35,9352.72,9818.35,5653320000.00,156221000000.00,9818.35,0.7983,12299.07303
26/11/2017,8789.04,9522.93,8775.59,9330.55,5475580000.00,146789000000.00,9330.55,0.7981,11690.95351
25/11/2017,8241.71,8790.92,8191.15,8790.92,4342060000.00,137632000000.00,8790.92,0.7981,11014.81017
24/11/2017,8074.02,8374.16,7940.93,8253.69,5058610000.00,134816000000.00,8253.69,0.7981,10341.67398
23/11/2017,8232.38,8267.40,8038.77,8038.77,4225180000.00,137444000000.00,8038.77,0.7972,10083.75564
22/11/2017,8077.95,8302.26,8075.47,8253.55,3633530000.00,134851000000.00,8253.55,0.794,10394.89924
21/11/2017,8205.74,8348.66,7762.71,8071.26,4277610000.00,136967000000.00,8071.26,0.7903,10212.90649
20/11/2017,8039.07,8336.86,7949.36,8200.64,3488450000.00,134167000000.00,8200.64,0.7924,10349.11661
19/11/2017,7766.03,8101.91,7694.10,8036.49,3149320000.00,129595000000.00,8036.49,0.7945,10115.15419
18/11/2017,7697.21,7884.99,7463.44,7790.15,3667190000.00,128425000000.00,7790.15,0.7945,9805.097546
17/11/2017,7853.57,8004.59,7561.09,7708.99,4651670000.00,131026000000.00,7708.99,0.7945,9702.945249
16/11/2017,7323.24,7967.38,7176.58,7871.69,5123810000.00,122164000000.00,7871.69,0.7941,9912.718801
15/11/2017,6634.76,7342.25,6634.76,7315.54,4200880000.00,110667000000.00,7315.54,0.7992,9153.578579
14/11/2017,6561.48,6764.98,6461.75,6635.75,3197110000.00,109434000000.00,6635.75,0.7983,8312.351246
13/11/2017,5938.25,6811.19,5844.29,6559.49,6263250000.00,99029000000.00,6559.49,0.8014,8185.038682
12/11/2017,6295.45,6625.05,5519.01,5950.07,8957350000.00,104980000000.00,5950.07,0.804,7400.584577
11/11/2017,6618.61,6873.15,6204.22,6357.60,4908680000.00,110362000000.00,6357.6,0.804,7907.462687
10/11/2017,7173.73,7312.00,6436.87,6618.14,5208250000.00,119607000000.00,6618.14,0.804,8231.517413
9/11/2017,7446.83,7446.83,7101.52,7143.58,3226250000.00,124146000000.00,7143.58,0.8036,8889.472374
8/11/2017,7141.38,7776.42,7114.02,7459.69,4602200000.00,119041000000.00,7459.69,0.8001,9323.447069
7/11/2017,7023.10,7253.32,7023.10,7144.38,2326340000.00,117056000000.00,7144.38,0.8047,8878.3149
6/11/2017,7403.22,7445.77,7007.31,7022.76,3111900000.00,123379000000.00,7022.76,0.8016,8760.928144
5/11/2017,7404.52,7617.48,7333.19,7407.41,2380410000.00,123388000000.00,7407.41,0.8078,9169.8564
4/11/2017,7164.48,7492.86,7031.28,7379.95,2483800000.00,119376000000.00,7379.95,0.8078,9135.862837
3/11/2017,7087.53,7461.29,7002.94,7207.76,3369860000.00,118084000000.00,7207.76,0.8078,8922.70364
2/11/2017,6777.77,7367.33,6758.72,7078.50,4653770000.00,112910000000.00,7078.5,0.8031,8813.970863
1/11/2017,6440.97,6767.31,6377.88,6767.31,2870320000.00,107287000000.00,6767.31,0.8012,8446.467798
31/10/2017,6132.02,6470.43,6103.33,6468.40,2311380000.00,102130000000.00,6468.4,0.805,8035.279503
30/10/2017,6114.85,6214.99,6040.85,6130.53,1772150000.00,101833000000.00,6130.53,0.802,7644.052369
29/10/2017,5754.44,6255.71,5724.58,6153.85,2859040000.00,95819800000.00,6153.85,0.8013,7679.832772
28/10/2017,5787.82,5876.72,5689.19,5753.09,1403920000.00,96369600000.00,5753.09,0.8013,7179.695495
27/10/2017,5899.74,5988.39,5728.82,5780.90,1710130000.00,98225400000.00,5780.9,0.8013,7214.401597
26/10/2017,5747.95,5976.80,5721.22,5904.83,1905040000.00,95685100000.00,5904.83,0.8056,7329.729394
25/10/2017,5524.60,5754.33,5397.88,5750.80,1966990000.00,91954200000.00,5750.8,0.8137,7067.469583
24/10/2017,5935.52,5935.52,5504.18,5526.64,2735700000.00,98781600000.00,5526.64,0.8164,6769.524743
23/10/2017,6006.00,6075.59,5732.47,5930.32,2401840000.00,99941600000.00,5930.32,0.8183,7247.122082
22/10/2017,6036.66,6076.26,5792.34,6008.42,2034630000.00,100438000000.00,6008.42,0.823,7300.631835
21/10/2017,5996.79,6194.88,5965.07,6031.60,2207100000.00,99763200000.00,6031.6,0.823,7328.797084
20/10/2017,5708.11,6060.11,5627.23,6011.45,2354430000.00,94947900000.00,6011.45,0.823,7304.313487
19/10/2017,5583.74,5744.35,5531.06,5708.52,1780540000.00,92867000000.00,5708.52,0.8204,6958.215505
18/10/2017,5603.82,5603.82,5151.44,5590.69,2399270000.00,93190200000.00,5590.69,0.8202,6816.252134
17/10/2017,5741.58,5800.35,5472.72,5605.51,1821570000.00,95469300000.00,5605.51,0.8206,6830.98952
16/10/2017,5687.57,5776.23,5544.21,5725.59,2008070000.00,94559000000.00,5725.59,0.8245,6944.317768
15/10/2017,5835.96,5852.48,5478.61,5678.19,1976040000.00,97011900000.00,5678.19,0.818,6941.552567
14/10/2017,5643.53,5837.70,5591.64,5831.79,1669030000.00,93803000000.00,5831.79,0.818,7129.327628
13/10/2017,5464.16,5840.30,5436.85,5647.21,3615480000.00,90812400000.00,5647.21,0.818,6903.679707
12/10/2017,4829.58,5446.91,4822.00,5446.91,2791610000.00,80256700000.00,5446.91,0.8151,6682.505214
11/10/2017,4789.25,4873.73,4751.63,4826.48,1222280000.00,79578200000.00,4826.48,0.8139,5930.065119
10/10/2017,4776.21,4922.17,4765.10,4781.99,1597140000.00,79351800000.00,4781.99,0.8115,5892.778805
